Timestamp,Time,Time_gen,SN,V_radtotal,V_radshort,V_housing,V_diode,V_antenna,V_probe,PumpStatus,SetPower,Power,Reflected-power,power_flag,antenna_cooling_flag,switch_cooling_flag
01/09/25 13:24:28,64.412,703710,SHK0000001,2165,2160,814,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:29,65.397,703710,SHK0000001,2165,2165,815,139,263,139,0,0,0,0,0,0,0
01/09/25 13:24:30,66.414,703710,SHK0000001,2170,2162,814,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:31,67.406,703710,SHK0000001,2165,2160,814,139,264,139,0,0,0,0,0,0,0
01/09/25 13:24:32,68.414,703710,SHK0000001,2164,2163,816,140,263,140,0,0,0,0,0,0,0
01/09/25 13:24:33,69.402,703710,SHK0000001,2165,2163,814,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:34,70.405,703710,SHK0000001,2165,2159,814,139,264,139,0,0,0,0,0,0,0
01/09/25 13:24:35,71.399,703710,SHK0000001,2164,2152,815,140,263,140,0,0,0,0,0,0,0
01/09/25 13:24:36,72.412,703710,SHK0000001,2162,2165,813,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:37,73.404,703710,SHK0000001,2159,2166,814,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:38,74.408,703710,SHK0000001,2158,2167,816,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:39,75.401,703710,SHK0000001,2163,2159,813,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:40,76.413,703710,SHK0000001,2164,2166,815,139,263,139,0,0,0,0,0,0,0
01/09/25 13:24:41,77.401,703710,SHK0000001,2167,2162,815,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:42,78.405,703710,SHK0000001,2163,2161,814,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:43,79.398,703710,SHK0000001,2163,2164,815,139,263,139,0,0,0,0,0,0,0
01/09/25 13:24:44,80.405,703710,SHK0000001,2165,2161,815,141,264,141,0,0,0,0,0,0,0
01/09/25 13:24:45,81.404,703710,SHK0000001,2159,2162,814,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:46,82.406,703710,SHK0000001,2164,2159,815,139,263,139,0,0,0,0,0,0,0
01/09/25 13:24:47,83.407,703710,SHK0000001,2138,1929,814,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:48,84.413,703710,SHK0000001,1893,1896,814,139,264,139,0,0,0,0,0,0,0
01/09/25 13:24:49,85.397,703710,SHK0000001,1900,1903,815,139,264,139,0,0,0,0,0,0,0
01/09/25 13:24:50,86.413,703710,SHK0000001,1903,1908,814,140,265,140,0,0,0,0,0,0,0
01/09/25 13:24:51,87.4,703710,SHK0000001,1896,1895,814,140,264,140,0,0,0,0,0,0,0
01/09/25 13:24:52,88.414,703710,SHK0000001,1905,1900,815,140,263,140,0,0,0,0,0,0,0
01/09/25 13:24:53,89.398,703710,SHK0000001,1898,1894,813,140,265,140,0,0,0,0,0,0,0
