Timestamp,Time,Time_gen,SN,V_radtotal,V_radshort,V_housing,V_diode,V_antenna,V_probe,PumpStatus,SetPower,Power,Reflected-power,power_flag,antenna_cooling_flag,switch_cooling_flag
02/09/25 11:02:19,9.835,703710,SHK0000001,2154,2151,796,132,190,132,0,0,0,0,0,0,0
02/09/25 11:02:20,10.834,703710,SHK0000001,2154,2149,797,132,190,132,0,0,0,0,0,0,0
02/09/25 11:02:21,11.838,703710,SHK0000001,2154,2154,796,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:22,12.829,703710,SHK0000001,2154,2146,795,131,190,131,0,0,0,0,0,0,0
02/09/25 11:02:23,13.841,703710,SHK0000001,2160,2154,798,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:24,14.829,703710,SHK0000001,2158,2158,795,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:25,15.836,703710,SHK0000001,2153,2143,796,131,190,131,0,0,0,0,0,0,0
02/09/25 11:02:26,16.83,703710,SHK0000001,2153,2149,797,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:27,17.842,703710,SHK0000001,2151,2158,795,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:28,18.83,703710,SHK0000001,2158,2151,797,132,190,132,0,0,0,0,0,0,0
02/09/25 11:02:29,19.838,703710,SHK0000001,2156,2157,797,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:30,20.833,703710,SHK0000001,2034,2032,795,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:31,21.843,703710,SHK0000001,2033,2032,797,131,190,131,0,0,0,0,0,0,0
02/09/25 11:02:32,22.832,703710,SHK0000001,2030,2035,795,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:33,23.84,703710,SHK0000001,2031,2035,796,131,191,131,0,0,0,0,0,0,0
02/09/25 11:02:34,24.831,703710,SHK0000001,2028,2031,797,132,190,132,0,0,0,0,0,0,0
02/09/25 11:02:35,25.843,703710,SHK0000001,2030,2032,796,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:36,26.832,703710,SHK0000001,2033,2032,796,131,191,131,0,0,0,0,0,0,0
02/09/25 11:02:37,27.837,703710,SHK0000001,2028,2034,798,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:38,28.831,703710,SHK0000001,2034,2037,796,133,191,133,0,0,0,0,0,0,0
02/09/25 11:02:39,29.838,703710,SHK0000001,2030,2034,796,131,191,131,0,0,0,0,0,0,0
02/09/25 11:02:40,30.833,703710,SHK0000001,2038,2035,797,132,191,132,0,0,0,0,0,0,0
02/09/25 11:02:41,31.841,703710,SHK0000001,2033,2025,796,132,192,132,0,0,0,0,0,0,0
02/09/25 11:02:42,32.825,703710,SHK0000001,2027,2030,798,131,190,131,0,0,0,0,0,0,0
02/09/25 11:02:43,33.834,703710,SHK0000001,2040,2032,797,132,192,132,0,0,0,0,0,0,0
02/09/25 11:02:44,34.832,703710,SHK0000001,2030,2033,795,132,192,132,0,0,0,0,0,0,0
02/09/25 11:02:45,35.842,703710,SHK0000001,2035,2030,798,132,190,132,0,0,0,0,0,0,0
02/09/25 11:02:46,36.83,703710,SHK0000001,2035,2035,797,132,192,132,0,0,0,0,0,1,0
02/09/25 11:02:47,37.843,703710,SHK0000001,2034,2036,795,132,192,132,0,0,0,0,0,1,0
02/09/25 11:02:48,38.829,703710,SHK0000001,2032,2032,798,132,191,132,0,0,0,0,0,1,0
02/09/25 11:02:49,39.835,703710,SHK0000001,2035,2033,796,133,192,133,0,0,0,0,0,1,0
02/09/25 11:02:50,40.832,703710,SHK0000001,2032,2037,796,131,191,131,0,0,0,0,0,1,0
02/09/25 11:02:51,41.837,703710,SHK0000001,2029,2032,798,132,191,132,0,0,0,0,0,1,0
02/09/25 11:02:52,42.825,703710,SHK0000001,2034,2035,796,132,193,132,0,0,0,0,0,1,0
02/09/25 11:02:53,43.835,703710,SHK0000001,2035,2029,797,131,191,131,0,0,0,0,0,1,0
02/09/25 11:02:54,44.827,703710,SHK0000001,2035,2030,797,132,192,132,0,0,0,0,0,1,0
02/09/25 11:02:55,45.837,703710,SHK0000001,2034,2034,796,132,193,132,0,0,0,0,0,1,0
02/09/25 11:02:56,46.825,703710,SHK0000001,2033,2033,797,131,191,131,0,0,0,0,0,1,0
02/09/25 11:02:57,47.838,703710,SHK0000001,2034,2036,797,132,191,132,0,0,0,0,0,1,0
02/09/25 11:02:58,48.829,703710,SHK0000001,2035,2029,796,132,193,132,0,0,0,0,0,1,0
02/09/25 11:02:59,49.836,703710,SHK0000001,2034,2032,797,131,190,131,0,0,0,0,0,1,0
02/09/25 11:03:00,50.832,703710,SHK0000001,2029,2029,797,132,192,132,0,0,0,0,0,1,0
02/09/25 11:03:01,51.839,703710,SHK0000001,2030,2032,796,131,192,131,0,0,0,0,0,1,0
02/09/25 11:03:02,52.833,703710,SHK0000001,2038,2034,798,131,191,131,0,0,0,0,0,1,0
02/09/25 11:03:03,53.842,703710,SHK0000001,2037,2034,797,132,192,132,0,0,0,0,0,1,0
02/09/25 11:03:04,54.833,703710,SHK0000001,2029,2033,796,131,192,131,0,0,0,0,0,1,0
02/09/25 11:03:05,55.836,703710,SHK0000001,2036,2029,798,131,191,131,0,0,0,0,0,1,0
02/09/25 11:03:06,56.827,703710,SHK0000001,2037,2024,797,133,192,133,0,0,0,0,0,1,0
02/09/25 11:03:07,57.838,703710,SHK0000001,2031,2036,796,131,191,131,0,0,0,0,0,1,0
02/09/25 11:03:08,58.829,703710,SHK0000001,2038,2036,798,132,192,132,0,0,0,0,0,1,0
02/09/25 11:03:09,59.834,703710,SHK0000001,2038,2034,796,132,192,132,0,0,0,0,0,1,0
02/09/25 11:03:10,60.83,703710,SHK0000001,2036,2031,796,131,192,131,0,0,0,0,0,1,0
02/09/25 11:03:11,61.838,703710,SHK0000001,2034,2033,797,132,191,132,0,0,0,0,0,1,0
02/09/25 11:03:12,62.831,703710,SHK0000001,2038,2036,796,132,192,132,0,0,0,0,0,1,0
02/09/25 11:03:13,63.835,703710,SHK0000001,2035,2036,797,131,191,131,0,0,0,0,0,1,0
02/09/25 11:03:14,64.826,703710,SHK0000001,2029,2031,797,132,192,132,0,0,0,0,0,1,0
