Timestamp,Time,Time_gen,SN,V_radtotal,V_radshort,V_housing,V_diode,V_antenna,V_probe,PumpStatus,SetPower,Power,Reflected-power,power_flag,antenna_cooling_flag,switch_cooling_flag
09/09/25 15:16:06,2.607,703710,SHK0000001,2034,2076,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:07,3.61,703710,SHK0000001,2039,2077,802,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:08,4.6,703710,SHK0000001,2038,2080,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:09,5.605,703710,SHK0000001,2034,2076,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:10,6.607,703710,SHK0000001,2036,2082,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:11,7.613,703710,SHK0000001,2042,2077,804,131,189,131,0,0,0,0,0,0,0
09/09/25 15:16:12,8.601,703710,SHK0000001,2038,2078,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:13,9.607,703710,SHK0000001,2045,2076,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:14,10.605,703710,SHK0000001,2041,2080,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:15,11.606,703710,SHK0000001,2038,2082,801,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:16,12.606,703710,SHK0000001,2037,2077,804,130,189,130,0,0,0,0,0,0,0
09/09/25 15:16:17,13.607,703710,SHK0000001,2039,2084,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:18,14.603,703710,SHK0000001,2037,2080,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:19,15.613,703710,SHK0000001,2039,2078,803,130,189,130,0,0,0,0,0,0,0
09/09/25 15:16:20,16.6,703710,SHK0000001,2037,2077,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:21,17.61,703710,SHK0000001,2036,2081,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:22,18.601,703710,SHK0000001,2043,2083,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:23,19.606,703710,SHK0000001,2044,2082,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:24,20.605,703710,SHK0000001,2039,2075,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:25,21.61,703710,SHK0000001,2038,2079,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:26,22.602,703710,SHK0000001,2042,2077,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:27,23.605,703710,SHK0000001,2037,2077,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:28,24.603,703710,SHK0000001,2037,2080,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:29,25.611,703710,SHK0000001,2036,2077,802,131,192,131,0,0,0,0,0,0,0
09/09/25 15:16:30,26.605,703710,SHK0000001,2034,2072,802,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:31,27.615,703710,SHK0000001,2037,2081,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:32,28.603,703710,SHK0000001,2035,2075,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:33,29.61,703710,SHK0000001,2034,2081,803,130,189,130,0,0,0,0,0,0,0
09/09/25 15:16:34,30.6,703710,SHK0000001,2040,2076,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:35,31.61,703710,SHK0000001,2038,2083,802,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:36,32.605,703710,SHK0000001,2036,2077,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:37,33.612,703710,SHK0000001,2045,2083,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:38,34.606,703710,SHK0000001,2037,2084,803,130,191,130,0,0,0,0,0,0,0
09/09/25 15:16:39,35.614,703710,SHK0000001,2040,2080,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:40,36.598,703710,SHK0000001,2038,2081,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:41,37.608,703710,SHK0000001,2037,2081,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:42,38.599,703710,SHK0000001,2037,2076,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:43,39.608,703710,SHK0000001,2037,2082,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:44,40.598,703710,SHK0000001,2037,2077,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:45,41.613,703710,SHK0000001,2042,2079,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:46,42.603,703710,SHK0000001,2035,2082,802,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:47,43.609,703710,SHK0000001,2041,2079,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:48,44.6,703710,SHK0000001,2037,2077,803,132,191,132,0,0,0,0,0,0,0
09/09/25 15:16:49,45.61,703710,SHK0000001,2037,2077,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:50,46.602,703710,SHK0000001,2040,2075,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:51,47.61,703710,SHK0000001,2039,2086,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:16:52,48.598,703710,SHK0000001,2039,2083,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:53,49.615,703710,SHK0000001,2039,2077,804,131,189,131,0,0,0,0,0,0,0
09/09/25 15:16:54,50.604,703710,SHK0000001,2038,2080,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:55,51.607,703710,SHK0000001,2037,2083,804,130,190,130,0,0,0,0,0,0,0
09/09/25 15:16:56,52.604,703710,SHK0000001,2042,2080,805,131,189,131,0,0,0,0,0,0,0
09/09/25 15:16:57,53.606,703710,SHK0000001,2037,2082,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:16:58,54.601,703710,SHK0000001,2040,2071,804,130,189,130,0,0,0,0,0,0,0
09/09/25 15:16:59,55.608,703710,SHK0000001,2040,2079,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:00,56.608,703710,SHK0000001,2040,2083,802,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:01,57.608,703710,SHK0000001,2038,2078,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:02,58.606,703710,SHK0000001,2042,2082,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:03,59.61,703710,SHK0000001,2043,2083,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:04,60.598,703710,SHK0000001,2040,2085,804,131,189,131,0,0,0,0,0,0,0
09/09/25 15:17:05,61.607,703710,SHK0000001,2041,2080,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:06,62.604,703710,SHK0000001,2039,2080,802,130,190,130,0,0,0,0,0,0,0
09/09/25 15:17:07,63.613,703710,SHK0000001,2038,2078,805,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:08,64.602,703710,SHK0000001,2045,2078,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:09,65.608,703710,SHK0000001,2039,2081,803,130,190,130,0,0,0,0,0,0,0
09/09/25 15:17:10,66.603,703710,SHK0000001,2040,2080,805,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:11,67.613,703710,SHK0000001,2035,2076,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:12,68.604,703710,SHK0000001,2040,2076,803,130,189,130,0,0,0,0,0,0,0
09/09/25 15:17:13,69.609,703710,SHK0000001,2039,2082,804,131,189,131,0,0,0,0,0,0,0
09/09/25 15:17:14,70.605,703710,SHK0000001,2041,2079,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:15,71.608,703710,SHK0000001,2035,2074,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:16,72.603,703710,SHK0000001,2039,2075,804,131,189,131,0,0,0,0,0,0,0
09/09/25 15:17:17,73.614,703710,SHK0000001,2042,2075,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:18,74.601,703710,SHK0000001,2036,2084,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:19,75.615,703710,SHK0000001,2044,2080,804,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:20,76.607,703710,SHK0000001,2046,2082,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:21,77.612,703710,SHK0000001,2041,2083,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:22,78.606,703710,SHK0000001,2040,2077,804,132,191,132,0,0,0,0,0,0,0
09/09/25 15:17:23,79.605,703710,SHK0000001,2041,2080,804,130,190,130,0,0,0,0,0,0,0
09/09/25 15:17:24,80.601,703710,SHK0000001,2039,2084,805,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:25,81.609,703710,SHK0000001,2039,2081,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:26,82.606,703710,SHK0000001,2042,2078,804,130,189,130,0,0,0,0,0,0,0
09/09/25 15:17:27,83.611,703710,SHK0000001,2040,2081,804,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:28,84.605,703710,SHK0000001,2033,2078,803,131,191,131,0,0,0,0,0,0,0
09/09/25 15:17:29,85.608,703710,SHK0000001,2036,2083,804,130,190,130,0,0,0,0,0,0,0
09/09/25 15:17:30,86.605,703710,SHK0000001,2040,2076,805,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:31,87.607,703710,SHK0000001,2042,2081,803,131,190,131,0,0,0,0,0,0,0
09/09/25 15:17:32,88.602,703710,SHK0000001,2041,2084,806,130,189,130,0,0,0,0,0,0,0
09/09/25 15:17:33,89.606,703710,SHK0000001,2039,2085,804,131,190,131,0,0,0,0,0,0,0
