V_rad_short,V_rad_tot,V_housing,V_diode,V_spike,cooling_flag_1,cooling_flag_2,time_index,condition
2045,2042,767,4095,4095,0,0,0,open
2041,2038,769,4095,4095,0,0,1,open
2043,2044,768,4095,4095,0,0,2,open
2041,2042,767,4095,4095,0,0,3,open
2045,2040,769,4095,4095,0,0,4,open
2041,2040,768,4095,4095,0,0,5,open
2048,2042,769,4095,4095,0,0,6,open
2042,2041,770,4095,4095,0,0,7,open
2046,2038,768,4095,4095,0,0,8,open
2044,2039,769,4095,4095,0,0,9,open
2041,2048,769,4095,4095,0,0,10,open
2042,2046,768,4095,4095,0,0,11,open
2047,2051,769,4095,4095,0,0,12,open
2041,2045,769,4095,4095,0,0,13,open
2043,2045,768,4095,4095,0,0,14,open
2045,2049,769,4095,4095,0,0,15,open
2043,2043,768,4095,4095,0,0,16,open
2045,2043,768,4095,4095,0,0,17,open
2040,2037,769,4095,4095,0,0,18,open
2043,2040,769,4095,4095,0,0,19,open
2040,2043,768,4095,4095,0,0,20,open
2046,2038,770,4095,4095,0,0,21,open
2042,2040,768,4095,4095,0,0,22,open
2041,2045,769,4095,4095,0,0,23,open
2038,2046,769,4095,4095,0,0,24,open
2047,2043,768,4095,4095,0,0,25,open
2044,2037,769,4095,4095,0,0,26,open
2044,2038,769,4095,4095,0,0,27,open
2039,2039,768,4095,4095,0,0,28,open
2045,2048,769,4095,4095,0,0,29,open
2043,2041,769,4095,4095,0,0,30,open
2037,2039,768,4095,4095,0,0,31,open
2038,2047,769,4095,4095,0,0,32,open
2046,2040,768,4095,4095,0,0,33,open
2045,2042,768,4095,4095,0,0,34,open
2042,2045,769,4095,4095,0,0,35,open
2038,2040,768,4095,4095,0,0,36,open
2048,2043,770,4095,4095,0,0,37,open
2042,2039,769,4095,4095,0,0,38,open
2042,2042,767,4095,4095,0,0,39,open
2045,2042,769,4095,4095,0,0,40,open
2040,2042,769,4095,4095,0,0,41,open
2051,2043,767,4095,4095,0,0,42,open
2045,2047,768,4095,4095,0,0,43,open
2045,2045,768,4095,4095,0,0,44,open
2047,2040,767,4095,4095,0,0,45,open
2046,2042,769,4095,4095,0,0,46,open
2045,2043,768,4095,4095,0,0,47,open
2042,2043,768,4095,4095,0,0,48,open
2042,2040,768,4095,4095,0,0,49,open
2046,2044,767,4095,4095,0,0,50,open
2039,2042,767,4095,4095,0,0,51,open
2042,2043,769,4095,4095,0,0,52,open
2048,2043,767,4095,4095,0,0,53,open
2036,2040,767,4095,4095,0,0,54,open
2046,2045,768,4095,4095,0,0,55,open
2039,2043,767,4095,4095,0,0,56,open
2041,2045,769,4095,4095,0,0,57,open
2041,2047,768,4095,4095,0,0,58,open
2044,2040,767,4095,4095,0,0,59,open
2048,2045,769,4095,4095,0,0,60,open
2046,2040,768,4095,4095,0,0,61,open
2042,2044,768,4095,4095,0,0,62,open
2041,2043,768,4095,4095,0,0,63,open
2048,2043,767,4095,4095,0,0,64,open
2037,2043,767,4095,4095,0,0,65,open
2045,2047,769,4095,4095,0,0,66,open
2043,2041,767,4095,4095,0,0,67,open
2047,2043,767,4095,4095,0,0,68,open
2040,2040,768,4095,4095,0,0,69,open
2050,2043,767,4095,4095,0,0,70,open
2045,2041,767,4095,4095,0,0,71,open
2043,2045,768,4095,4095,0,0,72,open
2045,2043,767,4095,4095,0,0,73,open
2045,2050,768,4095,4095,0,0,74,open
2042,2041,768,4095,4095,0,0,75,open
2045,2038,767,4095,4095,0,0,76,open
2041,2046,768,4095,4095,0,0,77,open
2048,2044,768,4095,4095,0,0,78,open
2043,2045,766,4095,4095,0,0,79,open
2040,2037,768,4095,4095,0,0,80,open
2040,2042,767,4095,4095,0,0,81,open
2039,2040,768,4095,4095,0,0,82,open
2044,2041,769,4095,4095,0,0,83,open
2043,2043,767,4095,4095,0,0,84,open
2049,2045,767,4095,4095,0,0,85,open
2048,2049,769,4095,4095,0,0,86,open
2046,2042,768,4095,4095,0,0,87,open
2040,2041,769,4095,4095,0,0,88,open
2045,2042,769,4095,4095,0,0,89,open
2037,2040,767,4095,4095,0,0,90,open
2039,2043,769,4095,4095,0,0,91,open
2040,2045,769,4095,4095,0,0,92,open
2046,2047,768,4095,4095,0,0,93,open
2045,2046,769,4095,4095,0,0,94,open
2040,2039,769,4095,4095,0,0,95,open
2042,2048,768,4095,4095,0,0,96,open
2042,2040,770,4095,4095,0,0,97,open
2044,2041,768,4095,4095,0,0,98,open
2039,2041,769,4095,4095,0,0,99,open
2047,2040,770,4095,4095,0,0,100,open
2040,2041,769,4095,4095,0,0,101,open
2039,2040,769,4095,4095,0,0,102,open
2044,2048,770,4095,4095,0,0,103,open
2044,2043,769,4095,4095,0,0,104,open
2040,2046,771,4095,4095,0,0,105,open
2044,2040,771,4095,4095,0,0,106,open
2045,2040,769,4095,4095,0,0,107,open
2042,2039,771,4095,4095,0,0,108,open
2044,2042,770,4095,4095,0,0,109,open
2045,2043,770,4095,4095,0,0,110,open
2043,2047,772,4095,4095,0,0,111,open
2038,2040,771,4095,4095,0,0,112,open
2043,2043,771,4095,4095,0,0,113,open
2042,2041,773,4095,4095,0,0,114,open
2041,2044,770,4095,4095,0,0,115,open
2042,2045,771,4095,4095,0,0,116,open
2040,2044,773,4095,4095,0,0,117,open
2041,2044,771,4095,4095,0,0,118,open
2047,2040,773,4095,4095,0,0,119,open
2045,2040,773,4095,4095,0,0,120,open
2039,2046,771,4095,4095,0,0,121,open
2049,2045,774,4095,4095,0,0,122,open
2041,2041,773,4095,4095,0,0,123,open
2039,2043,773,4095,4095,0,0,124,open
2039,2047,775,4095,4095,0,0,125,open
2046,2043,773,4095,4095,0,0,126,open
2043,2042,772,4095,4095,0,0,127,open
2040,2043,775,4095,4095,0,0,128,open
2045,2037,773,4095,4095,0,0,129,open
2044,2043,775,4095,4095,0,0,130,open
2044,2041,776,4095,4095,0,0,131,open
2042,2048,774,4095,4095,0,0,132,open
2044,2048,775,4095,4095,0,0,133,open
2044,2044,775,4095,4095,0,0,134,open
2046,2041,775,4095,4095,0,0,135,open
2039,2048,777,4095,4095,0,0,136,open
2048,2041,775,4095,4095,0,0,137,open
2044,2046,775,4095,4095,0,0,138,open
2043,2045,777,4095,4095,0,0,139,open
2040,2040,776,4095,4095,0,0,140,open
2045,2046,775,4095,4095,0,0,141,open
2043,2046,778,4095,4095,0,0,142,open
2041,2038,777,4095,4095,0,0,143,open
2043,2043,777,4095,4095,0,0,144,open
2041,2042,778,4095,4095,0,0,145,open
2049,2040,777,4095,4095,0,0,146,open
2043,2045,778,4095,4095,0,0,147,open
2043,2041,779,4095,4095,0,0,148,open
2038,2033,778,4095,4095,0,0,149,open
2045,2041,779,4095,4095,0,0,150,open
2048,2039,780,4095,4095,0,0,151,open
2041,2042,779,4095,4095,0,0,152,open
2039,2045,780,4095,4095,0,0,153,open
2047,2040,780,4095,4095,0,0,154,open
2048,2044,779,4095,4095,0,0,155,open
2047,2040,781,4095,4095,0,0,156,open
2039,2043,780,4095,4095,0,0,157,open
2039,2046,780,4095,4095,0,0,158,open
2040,2036,781,4095,4095,0,0,159,open
2045,2039,779,4095,4095,0,0,160,open
2049,2039,780,4095,4095,0,0,161,open
2042,2041,781,4095,4095,0,0,162,open
2045,2035,781,4095,4095,0,0,163,open
2040,2043,781,4095,4095,0,0,164,open
2039,2035,781,4095,4095,0,0,165,open
2047,2044,781,4095,4095,0,0,166,open
2039,2043,782,4095,4095,0,0,167,open
2044,2041,782,4095,4095,0,0,168,open
2048,2037,781,4095,4095,0,0,169,open
2047,2044,783,4095,4095,0,0,170,open
2044,2046,782,4095,4095,0,0,171,open
2034,2041,783,4095,4095,0,0,172,open
2041,2039,783,4095,4095,0,0,173,open
2042,2043,783,4095,4095,0,0,174,open
2043,2040,783,4095,4095,0,0,175,open
2040,2040,785,4095,4095,0,0,176,open
2046,2048,783,4095,4095,0,0,177,open
2046,2041,783,4095,4095,0,0,178,open
2042,2043,784,4095,4095,0,0,179,open
2044,2043,783,4095,4095,0,0,180,open
2039,2044,785,4095,4095,0,0,181,open
2042,2040,784,4095,4095,0,0,182,open
2045,2040,784,4095,4095,0,0,183,open
2039,2044,785,4095,4095,0,0,184,open
2039,2041,785,4095,4095,0,0,185,open
2044,2037,785,4095,4095,0,0,186,open
2038,2044,787,4095,4095,0,0,187,open
2041,2042,785,4095,4095,0,0,188,open
2042,2042,786,4095,4095,0,0,189,open
2043,2042,787,4095,4095,0,0,190,open
2044,2038,786,4095,4095,0,0,191,open
2045,2038,787,4095,4095,0,0,192,open
2043,2046,788,4095,4095,0,0,193,open
2039,2040,787,4095,4095,0,0,194,open
2042,2038,788,4095,4095,0,0,195,open
2040,2041,788,4095,4095,0,0,196,open
2043,2037,787,4095,4095,0,0,197,open
2043,2041,789,4095,4095,0,0,198,open
2042,2044,788,4095,4095,0,0,199,open
2045,2043,788,4095,4095,0,0,200,open
2046,2040,789,4095,4095,0,0,201,open
2044,2040,788,4095,4095,0,0,202,open
2037,2042,788,4095,4095,0,0,203,open
2045,2044,790,4095,4095,0,0,204,open
2043,2039,789,4095,4095,0,0,205,open
2045,2040,789,4095,4095,0,0,206,open
2042,2042,790,4095,4095,0,0,207,open
2044,2043,789,4095,4095,0,0,208,open
2041,2043,791,4095,4095,0,0,209,open
2049,2042,790,4095,4095,0,0,210,open
2045,2042,788,4095,4095,0,0,211,open
2040,2042,791,4095,4095,0,0,212,open
2046,2039,790,4095,4095,0,0,213,open
2047,2039,789,4095,4095,0,0,214,open
2044,2043,792,4095,4095,0,0,215,open
2040,2047,791,4095,4095,0,0,216,open
2040,2045,791,4095,4095,0,0,217,open
2037,2038,791,4095,4095,0,0,218,open
2040,2047,791,4095,4095,0,0,219,open
2034,2043,792,4095,4095,0,0,220,open
2042,2047,792,4095,4095,0,0,221,open
2047,2047,791,4095,4095,0,0,222,open
2044,2041,792,4095,4095,0,0,223,open
2044,2040,793,4095,4095,0,0,224,open
2044,2044,792,4095,4095,0,0,225,open
2046,2044,793,4095,4095,0,0,226,open
2042,2034,794,4095,4095,0,0,227,open
2046,2044,791,4095,4095,0,0,228,open
2044,2042,795,4095,4095,0,0,229,open
2047,2040,793,4095,4095,0,0,230,open
2041,2049,793,4095,4095,0,0,231,open
2038,2046,795,4095,4095,0,0,232,open
2045,2043,794,4095,4095,0,0,233,open
2043,2045,795,4095,4095,0,0,234,open
2046,2049,795,4095,4095,0,0,235,open
2038,2041,794,4095,4095,0,0,236,open
2041,2045,795,4095,4095,0,0,237,open
2040,2047,796,4095,4095,0,0,238,open
2044,2042,794,4095,4095,0,0,239,open
2043,2045,795,4095,4095,0,0,240,open
2039,2042,795,4095,4095,0,0,241,open
2042,2044,795,4095,4095,0,0,242,open
2042,2042,797,4095,4095,0,0,243,open
2040,2044,796,4095,4095,0,0,244,open
2042,2041,796,4095,4095,0,0,245,open
2042,2045,798,4095,4095,0,0,246,open
2037,2045,795,4095,4095,0,0,247,open
2044,2040,796,4095,4095,0,0,248,open
2053,2040,797,4095,4095,0,0,249,open
2041,2042,796,4095,4095,0,0,250,open
2044,2044,797,4095,4095,0,0,251,open
2041,2043,798,4095,4095,0,0,252,open
2044,2043,796,4095,4095,0,0,253,open
2041,2042,798,4095,4095,0,0,254,open
2042,2044,798,4095,4095,0,0,255,open
2041,2042,797,4095,4095,0,0,256,open
2045,2042,798,4095,4095,0,0,257,open
