Timestamp,Time,Time_gen,SN,V_radshort,V_radtotal,V_housing,VTC2,V_diode,V_probe,PumpStatus,SetPower,Power,Reflected-power,power_flag,antenna_cooling_flag,switch_cooling_flag
28/07/25 14:08:25,140.971,703710,SHK0000001,2078,2081,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:26,142.259,703710,SHK0000001,2073,2075,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:28,143.53,703710,SHK0000001,2090,2070,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:29,144.801,703710,SHK0000001,2076,2076,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:30,146.079,703710,SHK0000001,2083,2072,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:31,147.35,703710,SHK0000001,2087,2081,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:33,148.63,703710,SHK0000001,2079,2084,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:34,149.98,703710,SHK0000001,2085,2087,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:35,151.177,703710,SHK0000001,2077,2079,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:37,152.508,703710,SHK0000001,2082,2075,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:38,153.731,703710,SHK0000001,2087,2074,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:39,155.067,703710,SHK0000001,2078,2078,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:40,156.28,703710,SHK0000001,2084,2083,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:42,157.63,703710,SHK0000001,2085,2081,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:43,158.826,703710,SHK0000001,2087,2074,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:44,160.171,703710,SHK0000001,2077,2079,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:45,161.374,703710,SHK0000001,2083,2082,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:47,162.71,703710,SHK0000001,2081,2079,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:48,163.929,703710,SHK0000001,2084,2079,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:49,165.261,703710,SHK0000001,2083,2075,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:51,166.472,703710,SHK0000001,2097,2080,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:52,167.752,703710,SHK0000001,2090,2081,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:53,169.034,703710,SHK0000001,2084,2083,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:54,170.307,703710,SHK0000001,2086,2081,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:56,171.622,703710,SHK0000001,2087,2085,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:57,172.86,703710,SHK0000001,2081,2074,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:58,174.127,703710,SHK0000001,2083,2077,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:08:59,175.408,703710,SHK0000001,2092,2077,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:01,176.677,703710,SHK0000001,2072,2085,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:02,177.959,703710,SHK0000001,2075,2083,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:03,179.231,703710,SHK0000001,2091,2082,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:05,180.506,703710,SHK0000001,2084,2078,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:06,181.783,703710,SHK0000001,2086,2080,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:07,183.055,703710,SHK0000001,2089,2077,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:08,184.332,703710,SHK0000001,2084,2073,790,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:10,185.603,703710,SHK0000001,2084,2082,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:11,186.874,703710,SHK0000001,2089,2079,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:12,188.157,703710,SHK0000001,2079,2084,791,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:13,189.428,703710,SHK0000001,2090,2085,792,4095,4095,4095,0,0,0,0,0,0,0
28/07/25 14:09:15,190.711,703710,SHK0000001,2079,2081,791,4095,4095,4095,0,0,0,0,0,0,0
